# The primary sources this wiki was verified against. Generated by scripts/sources.py manifest.
# sha256 covers the body only (the SOURCE header holds the fetch date). `fetch` rebuilds raw/ from this.
# path	sha256	bytes	fetched	method	url
raw/articles/karpathy-coding-pitfalls.md	7128531f69fad588597a6d5695dfed3bcab365683f0e438650df89bcf9fdd29b	21303	2026-09-14	url	https://raw.githubusercontent.com/multica-ai/andrej-karpathy-skills/main/README.md
raw/articles/long-running-claude.md	0da82f6ac6129cb999e27254ec3c6b23d10b243e1f8be1b8690aaa2e56844840	12627	2026-09-14	page	https://www.anthropic.com/research/long-running-Claude
raw/articles/managed-agents-brain-hands.md	a2fb29af8c3cc081241d29604f89ff2f4092413822dc3a00805cffd742e793a0	13625	2026-09-15	page	https://www.anthropic.com/engineering/managed-agents
raw/articles/measuring-agent-autonomy.md	fd593e1ad3f05cc90a2a9ac778fb27de269a941d3d5723225e3635967b11c95c	39383	2026-09-15	page	https://www.anthropic.com/research/measuring-agent-autonomy
raw/articles/multi-agent-research-system.md	f1112c18fbe3677e264646db2a61bb6fcfcca136fb6ee2ce15dee9feeb9ff4c1	25949	2026-09-14	page	https://www.anthropic.com/engineering/multi-agent-research-system
raw/articles/multiagent-patterns-problems.md	72a5d80857a6c4421fa551b28f9ad8c34511edd2e027ed16c033981d7418967b	27847	2026-09-15	page	https://www.anthropic.com/research/multiagent-systems
raw/articles/muse-autoskill.md	b3c03f71bdde31187a9a37a28916f06c5b0bbd05b3f9df77d13384e5583aec55	91537	2026-09-15	page	https://arxiv.org/abs/2605.27366
raw/articles/prompt-injection-defenses.md	fd69f4f201c73ee9c5ca50093374fb9dfc39dc0ca515430ee92373414141b533	6404	2026-09-14	page	https://www.anthropic.com/research/prompt-injection-defenses
raw/articles/rehearse-confidence-cliff.md	bfed5c6cae9bee96a619cb23977779e817db9d18479145f7ecd51b2c4cc24ca6	52027	2026-09-14	page	https://arxiv.org/abs/2607.27687
raw/articles/self-compacting-agents.md	0cb9b5120632c60a9e90296bfb42bbac323f84a59aa49684154c38d1b12a4445	47518	2026-09-14	page	https://arxiv.org/abs/2606.23525
raw/articles/skill-kd.md	95b1b4613a6b55f686958ac2de425a8e466add4e055120edc0b716b507b73c09	38503	2026-09-15	page	https://arxiv.org/abs/2607.28048
raw/articles/skillclaw.md	adbc5e30c1e7b5a935034992eed94ab38a0583695b677be5576e242fb5384949	52440	2026-09-15	page	https://arxiv.org/abs/2604.08377
raw/articles/skillopt-2026.pdf	87f7f0f323b1671e9202b3ebb1596e909e507c71ecd1b360b0075a5ee1727fe3	879864	2026-09-14	url	https://arxiv.org/pdf/2605.23904
raw/articles/skillsvote-2026.pdf	0c795ddeda8273f985e09a51970ef03c0d58048eae08324b887dd8ec7fc8e47e	7553806	2026-09-14	url	https://arxiv.org/pdf/2605.18401
raw/articles/t-mem.md	c48ce6f84832d0d0929a436372b05f147421a7a781c7cb5fae1c18f2646e3fa5	38829	2026-09-15	page	https://arxiv.org/abs/2606.15405
raw/articles/teaching-claude-why.md	c5c920807c9d9ddd8af29de3928f082beb03ffa8e20f2674d6047ad758594c62	13713	2026-05-19	page	https://www.anthropic.com/research/teaching-claude-why
raw/articles/writing-tools-for-agents.md	d5aced3a2af3e33dcef0b0115b7dfc82add3c22fa761432a4fa0305a53ac81a9	21865	2026-09-14	page	https://www.anthropic.com/engineering/writing-tools-for-agents
raw/articles/zep-temporal-kg.md	110c027460cb5321c60ae3225203089d4a018b137e4b3e095b816b343ba18d6f	38687	2026-09-14	page	https://arxiv.org/abs/2501.13956
raw/docs/camoufox/pythonlib-readme.md	b159457ca87b5751a5d3c8d7ea80286420e4d64b6d57e1dcceb625bdebd52941	9014	2026-09-15	url	https://github.com/daijro/camoufox/blob/main/pythonlib/README.md
raw/docs/camoufox/readme.md	f1b0019d6d98ffac1bf9df5685012be2b78a4f1f50f1a3ed0cabc74f37f50407	42050	2026-09-15	url	https://github.com/daijro/camoufox/blob/main/README.md
raw/docs/camoufox/site-community.md	abf8a01899ae470f56e01175adee76a0530a339f6fe2eb3b1d81d459c2cb25a5	4122	2026-09-15	url	https://camoufox.com/community.md
raw/docs/camoufox/site-development__docker.md	490d6efa61959a60e4aae7f66c51f41c2602236ee7c15240285c4f12345f4f88	1474	2026-09-15	url	https://camoufox.com/development/docker.md
raw/docs/camoufox/site-features.md	1e6f72e131911322120a6862baede677ac4289ff1e5a467b00e9bde43e2f3dba	5096	2026-09-15	url	https://camoufox.com/features.md
raw/docs/camoufox/site-fingerprint__cursor-movement.md	d48e0867ab1488d2ffba9bd782a01fbd895a536735a39a2e7d637fd4a02f3aa4	1488	2026-09-15	url	https://camoufox.com/fingerprint/cursor-movement.md
raw/docs/camoufox/site-fingerprint__index.md	8e122d5dfcef4b8263e7ca805af9726fae111eb7ef1b103d115475e0eb61b25d	1580	2026-09-15	url	https://camoufox.com/fingerprint/index.md
raw/docs/camoufox/site-index.md	549ef7bceb92595d196510609695364f36f275ee18650c36c754ef92bd924251	12941	2026-09-15	url	https://camoufox.com/index.md
raw/docs/camoufox/site-legal.md	be5685d2f045247ab8c5b2deda12e808fb115aa9fc7ce17027785c26bb851e65	2087	2026-09-15	url	https://camoufox.com/legal.md
raw/docs/camoufox/site-python__browserforge.md	76235c04a312ead837b85e29db600f56fdaef8fdbf3a2331005ca050c3238166	2084	2026-09-15	url	https://camoufox.com/python/browserforge.md
raw/docs/camoufox/site-python__config.md	45b3ddba45886236eb4754219aecf9e3b9d8ae415e8c03339dd6b5a7387f7a68	975	2026-09-15	url	https://camoufox.com/python/config.md
raw/docs/camoufox/site-python__geoip.md	933085e238b35fb83be77d1d09fe65796ff0bb5b0b2f677679ecd738a9d2364a	3487	2026-09-15	url	https://camoufox.com/python/geoip.md
raw/docs/camoufox/site-python__index.md	4d891f92426023eab6de7c9372e685a8b44e4d9d863ec76d67283f94e15304ed	812	2026-09-15	url	https://camoufox.com/python/index.md
raw/docs/camoufox/site-python__installation.md	218f9598d5db5994e405f6726947ac489167307dc00262d531e6ed0352a9db3d	9335	2026-09-15	url	https://camoufox.com/python/installation.md
raw/docs/camoufox/site-python__main-world-eval.md	d7033998e9a576d91310726fdd819da97f904fec96609ef317910e7bfc75e819	1693	2026-09-15	url	https://camoufox.com/python/main-world-eval.md
raw/docs/camoufox/site-python__remote-server.md	4277a5a6c832fe92e21816ee87ef639e6aa96125cf0df5f298228b7c12eb0e7a	1655	2026-09-15	url	https://camoufox.com/python/remote-server.md
raw/docs/camoufox/site-python__usage.md	6433dab828c5e8ca91c02078dea6b904c409496f2582bdaa1470de8ec7f02eff	10970	2026-09-15	url	https://camoufox.com/python/usage.md
raw/docs/camoufox/site-python__virtual-display.md	902907cf32f272b00579424f01eff93e61afbdad25e9ffa3eeb9509a9e5a05e7	1195	2026-09-15	url	https://camoufox.com/python/virtual-display.md
raw/docs/camoufox/site-stealth.md	e28f39ee0c19b0b69b0a49045069a4dcf4ec37c888664ca265784f389d3a757d	8913	2026-09-15	url	https://camoufox.com/stealth.md
raw/docs/changelog-2.1.148-to-2.1.270.md	2cae3b3e02d75bd23a2480ed3b9c2c6a9738f4f1ea010156ed45e77afdb5a390	353992	2026-09-15	changelog	https://raw.githubusercontent.com/anthropics/claude-code/main/CHANGELOG.md
raw/docs/changelog-2.1.271-to-2.1.272.md	89f958aac0d761bb8f284eff8b69fb95f1cec26ddadce8280ee7403207c627b2	15742	2026-09-15	changelog	https://raw.githubusercontent.com/anthropics/claude-code/main/CHANGELOG.md
raw/docs/changelog-2.1.273-to-2.1.274.md	e066383c9d94d49920a2b28046d2d2088109cb5ad317f2b901c2fb9a41dc543e	26958	2026-09-17	changelog	https://raw.githubusercontent.com/anthropics/claude-code/main/CHANGELOG.md
raw/docs/changelog-2.1.275-to-2.1.278.md	fa6d57145b30872f4bc2e1697b5929a41749e74700879fc34186af23f6bf4c7e	28146	2026-09-19	changelog	https://raw.githubusercontent.com/anthropics/claude-code/main/CHANGELOG.md
raw/docs/claude-code-bridges/cc-mirror-readme.md	f29ee1d96ed38241ea7f709db4ee13d3c1f8988cba56c989c38f853dd3735f0b	14475	2026-09-14	url	https://raw.githubusercontent.com/numman-ali/cc-mirror/main/README.md
raw/docs/claude-code-bridges/claude-code-router-readme.md	3ef42e1b784a13647754d7d8ab2728ae6d17f2603053d68ce7b3088f95e4922b	24562	2026-09-14	url	https://raw.githubusercontent.com/musistudio/claude-code-router/main/README.md
raw/docs/claude-code-bridges/litellm-anthropic-unified.md	810b15c8fafea95f68dc0b9ac26bd3f5606ba9e4823d6919e4eefce8c5e22659	14847	2026-09-14	page	https://docs.litellm.ai/docs/anthropic_unified
